quote_date,paper,exch,open,high,low,close,volume,value
20141210,HEXA-B,Stockholm,232.40,236.70,232.20,234.20,427052,100312243
20141209,HEXA-B,Stockholm,232.70,235.00,230.00,231.30,638147,147683255
20141208,HEXA-B,Stockholm,237.00,238.40,235.30,235.50,354022,83685384
20141205,HEXA-B,Stockholm,240.00,240.00,236.20,237.50,401992,95423255
20141204,HEXA-B,Stockholm,241.00,242.10,236.50,237.40,279205,66724435
20141203,HEXA-B,Stockholm,239.50,241.60,238.30,240.90,324670,78058237
20141202,HEXA-B,Stockholm,238.60,241.70,238.00,239.60,265931,63693709
20141201,HEXA-B,Stockholm,237.00,239.30,235.80,238.00,435047,103320842
20141128,HEXA-B,Stockholm,248.30,249.20,236.10,237.00,826814,197563890
20141127,HEXA-B,Stockholm,249.00,250.00,248.30,249.20,165550,41305249
20141126,HEXA-B,Stockholm,251.20,253.10,248.50,249.00,202235,50534967
20141125,HEXA-B,Stockholm,250.90,253.60,250.50,251.60,288532,72656189
20141124,HEXA-B,Stockholm,250.00,253.50,249.30,251.40,209410,52647632
20141121,HEXA-B,Stockholm,246.10,251.90,245.30,250.90,482788,120498665
20141120,HEXA-B,Stockholm,246.80,248.20,243.00,245.30,342486,83972575
20141119,HEXA-B,Stockholm,249.10,250.80,247.10,247.60,339639,84592280
20141118,HEXA-B,Stockholm,247.20,249.60,247.20,249.30,283548,70507675
20141117,HEXA-B,Stockholm,243.70,247.60,243.00,246.90,303696,74611621
20141114,HEXA-B,Stockholm,249.90,250.70,245.30,245.50,401179,99182581
20141113,HEXA-B,Stockholm,247.90,251.20,247.00,249.00,296969,73925712
20141112,HEXA-B,Stockholm,248.70,249.90,246.30,247.10,313061,77523502
20141111,HEXA-B,Stockholm,249.00,250.70,247.80,248.80,312972,77947137
20141110,HEXA-B,Stockholm,244.80,249.40,243.80,249.40,369589,91540032
20141107,HEXA-B,Stockholm,246.50,247.90,244.60,245.30,363809,89500555
20141106,HEXA-B,Stockholm,246.00,247.40,242.70,246.10,402083,98652630
20141105,HEXA-B,Stockholm,245.80,248.70,245.60,246.80,357665,88360319
20141104,HEXA-B,Stockholm,242.20,249.80,242.20,245.00,851813,210151926
20141103,HEXA-B,Stockholm,245.00,245.20,241.30,243.60,741411,180168693
20141031,HEXA-B,Stockholm,242.00,248.50,241.70,248.50,502801,123665121
20141030,HEXA-B,Stockholm,240.00,241.00,236.90,239.70,435551,104032651
20141029,HEXA-B,Stockholm,237.40,240.20,237.40,239.60,652014,155776205
20141028,HEXA-B,Stockholm,236.00,238.80,234.50,238.00,706137,167802181
20141027,HEXA-B,Stockholm,240.40,241.00,233.50,235.40,1012002,238767482
20141024,HEXA-B,Stockholm,238.50,239.80,236.70,237.60,840363,200203026
20141023,HEXA-B,Stockholm,234.40,239.00,232.40,238.00,1184359,279657655
20141022,HEXA-B,Stockholm,215.00,238.90,215.00,235.50,3155138,726084514
20141021,HEXA-B,Stockholm,209.40,214.30,207.50,213.60,739225,156994746
20141020,HEXA-B,Stockholm,206.50,209.20,203.50,208.30,954178,196730319
20141017,HEXA-B,Stockholm,203.60,207.00,203.30,205.90,1399611,287295327
20141016,HEXA-B,Stockholm,205.80,209.40,200.50,203.90,1373447,279803778
20141015,HEXA-B,Stockholm,211.20,211.80,202.00,205.00,1026389,211559844
20141014,HEXA-B,Stockholm,202.80,210.90,202.40,210.40,990310,205817008
20141013,HEXA-B,Stockholm,203.10,206.80,201.90,202.70,817045,166845388
20141010,HEXA-B,Stockholm,210.00,211.80,205.30,205.70,1097611,227349441
20141009,HEXA-B,Stockholm,215.90,218.40,211.90,212.60,754239,161815749
20141008,HEXA-B,Stockholm,212.40,216.40,210.10,213.50,914243,195083064
20141007,HEXA-B,Stockholm,222.50,223.10,213.40,214.10,783033,169950171
20141006,HEXA-B,Stockholm,227.20,227.80,223.00,223.50,299786,67595860
20141003,HEXA-B,Stockholm,223.00,227.10,223.00,226.70,366756,82927503
20141002,HEXA-B,Stockholm,227.00,227.00,222.60,222.60,311462,69732873
20141001,HEXA-B,Stockholm,228.40,229.90,226.70,227.50,319504,72800500
20140930,HEXA-B,Stockholm,229.00,229.40,227.50,229.00,366183,83801731
20140929,HEXA-B,Stockholm,228.90,229.50,228.00,229.00,174090,39823891
20140926,HEXA-B,Stockholm,227.40,230.20,225.10,228.60,293418,67123476
20140925,HEXA-B,Stockholm,229.60,231.60,226.40,226.90,461395,105057642
20140924,HEXA-B,Stockholm,231.80,231.80,228.20,229.30,458720,105081462
20140923,HEXA-B,Stockholm,235.60,235.70,231.60,231.80,406400,94868642
20140922,HEXA-B,Stockholm,235.00,235.60,233.80,235.40,690076,162097738
20140919,HEXA-B,Stockholm,238.60,239.50,232.90,235.40,801100,188828003
20140918,HEXA-B,Stockholm,236.30,239.90,236.00,239.40,439456,104792981
20140917,HEXA-B,Stockholm,236.80,238.00,235.70,236.90,211290,50033236
20140916,HEXA-B,Stockholm,236.70,236.70,233.70,235.70,442208,104014501
20140915,HEXA-B,Stockholm,234.20,236.70,233.90,236.70,456440,107577861
20140912,HEXA-B,Stockholm,236.00,238.30,233.30,235.70,606756,143015702
20140911,HEXA-B,Stockholm,234.00,235.70,232.90,234.70,545254,127658088
20140910,HEXA-B,Stockholm,232.60,233.20,231.50,233.00,471434,109599704
20140909,HEXA-B,Stockholm,232.80,233.00,231.50,232.10,423166,98232861
20140908,HEXA-B,Stockholm,231.50,233.00,230.70,232.70,329753,76559986
20140905,HEXA-B,Stockholm,232.80,233.40,231.00,231.80,394281,91556476
