quote_date,paper,exch,open,high,low,close,volume,value
20141113,KLED,Stockholm,46.20,46.40,45.60,46.00,575026,26526694
20141112,KLED,Stockholm,46.00,46.40,45.90,46.00,836982,38607117
20141111,KLED,Stockholm,45.20,45.70,45.20,45.60,258535,11754928
20141110,KLED,Stockholm,44.60,45.30,44.30,45.20,336235,15136161
20141107,KLED,Stockholm,45.50,45.50,44.50,44.50,333512,14952521
20141106,KLED,Stockholm,45.30,45.80,45.00,45.30,371419,16857147
20141105,KLED,Stockholm,45.60,45.90,45.50,45.50,289477,13234129
20141104,KLED,Stockholm,45.40,45.80,45.10,45.40,269177,12246132
20141103,KLED,Stockholm,45.80,45.90,45.30,45.40,257645,11741731
20141031,KLED,Stockholm,45.30,45.90,45.30,45.90,264380,12063864
20141030,KLED,Stockholm,45.30,45.30,44.10,44.70,518651,23137059
20141029,KLED,Stockholm,45.10,45.70,44.60,45.00,590594,26638625
20141028,KLED,Stockholm,44.40,45.20,44.40,45.10,659561,29676066
20141027,KLED,Stockholm,44.20,44.70,43.40,44.20,453546,19992012
20141024,KLED,Stockholm,44.80,44.90,43.80,44.40,376551,16712695
20141023,KLED,Stockholm,43.20,44.50,43.00,44.40,350965,15450801
20141022,KLED,Stockholm,42.90,43.70,42.60,43.60,821945,35566608
20141021,KLED,Stockholm,41.70,42.90,41.10,42.90,827309,35119593
20141020,KLED,Stockholm,41.60,41.70,40.80,41.50,278330,11485283
20141017,KLED,Stockholm,39.70,41.40,39.70,41.40,827692,33671067
20141016,KLED,Stockholm,40.20,40.50,37.20,39.70,1543245,60267067
20141015,KLED,Stockholm,42.00,42.00,39.80,40.00,941665,38172967
20141014,KLED,Stockholm,41.40,42.00,41.00,41.90,614213,25564529
20141013,KLED,Stockholm,40.00,41.80,39.50,40.80,644082,26299101
20141010,KLED,Stockholm,40.70,40.80,40.10,40.30,421548,17019314
20141009,KLED,Stockholm,41.20,41.80,40.60,41.00,645777,26564252
20141008,KLED,Stockholm,41.00,41.30,40.30,40.70,883595,35923856
20141007,KLED,Stockholm,42.70,43.10,40.90,41.30,526629,21968539
20141006,KLED,Stockholm,43.90,44.20,42.90,42.90,463726,20127894
20141003,KLED,Stockholm,43.40,43.90,42.40,43.80,2169525,93736922
20141002,KLED,Stockholm,43.20,43.60,42.70,43.40,1414841,61174102
20141001,KLED,Stockholm,42.70,43.50,42.40,43.40,1355827,58466857
20140930,KLED,Stockholm,42.00,42.90,41.50,42.90,1554646,65673765
20140929,KLED,Stockholm,42.20,42.20,41.70,42.10,1677957,70290129
20140926,KLED,Stockholm,42.30,42.40,41.50,42.30,1043673,43878977
20140925,KLED,Stockholm,42.40,42.90,41.90,42.20,1008848,42589093
20140924,KLED,Stockholm,41.60,42.70,41.20,42.40,998467,41904518
20140923,KLED,Stockholm,41.80,42.20,40.60,41.80,1277873,53198145
20140922,KLED,Stockholm,42.70,42.80,41.80,41.90,336664,14230887
20140919,KLED,Stockholm,43.10,44.60,42.20,42.70,965079,41381644
20140918,KLED,Stockholm,44.00,44.20,43.20,44.10,230945,10156259
20140917,KLED,Stockholm,43.70,44.00,42.30,43.90,231271,10101916
20140916,KLED,Stockholm,45.40,46.20,45.00,46.20,274408,12537058
20140915,KLED,Stockholm,44.70,45.80,44.60,45.40,152290,6898178
20140912,KLED,Stockholm,46.00,46.20,45.00,46.00,169191,7729928
20140911,KLED,Stockholm,46.30,46.50,45.80,45.90,139414,6433329
20140910,KLED,Stockholm,46.50,46.80,46.10,46.50,112356,5210652
20140909,KLED,Stockholm,46.40,47.10,46.10,46.80,270511,12613479
20140908,KLED,Stockholm,46.90,46.90,46.20,46.50,98945,4597486
20140905,KLED,Stockholm,46.60,47.30,46.50,47.10,115218,5393446
20140904,KLED,Stockholm,47.30,47.90,46.70,46.70,93237,4374771
20140903,KLED,Stockholm,47.30,47.80,46.90,47.60,88835,4223104
20140902,KLED,Stockholm,47.50,47.90,46.90,47.00,152970,7211592
20140901,KLED,Stockholm,47.50,47.80,47.20,47.40,86920,4136509
20140829,KLED,Stockholm,47.40,47.70,47.20,47.40,106905,5074531
